customer_id,churn_probability,churn_prediction,risk_level,threshold,customer_value,customer_value_tier,retention_priority_score,segment,main_reason,recommended_action,priority
CUST_0015,6.828086159065046e-05,0,Low,0.3292908351136531,1380.015,High,19,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0016,7.554838555489427e-06,0,Low,0.3292908351136531,1007.44,High,14,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0017,0.818518051678504,1,High,0.3292908351136531,40.005,Low,41,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0018,0.005803317677576429,0,Low,0.3292908351136531,80.96,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0019,0.8453018020144719,1,High,0.3292908351136531,0.0,Low,42,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0020,2.426852947803654e-05,0,Low,0.3292908351136531,2071.575,High,29,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0021,1.9893304511373146e-05,0,Low,0.3292908351136531,317.975,Medium,4,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0022,1.4009025522339512e-05,0,Low,0.3292908351136531,791.685,High,11,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0023,0.999941703369798,1,High,0.3292908351136531,117.09,Low,72,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate; Low usage duration,Automated SMS/email campaign,P2
CUST_0024,8.608926013075757e-05,0,Low,0.3292908351136531,159.42,Medium,22,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate,No immediate action,P4
CUST_0025,0.9998331152426496,1,High,0.3292908351136531,383.22,Medium,67,Price-Sensitive / Low-Value Users,Complaint recorded,Personalized retention offer,P2
CUST_0026,0.0004949771229561064,0,Low,0.3292908351136531,114.48,Low,2,Low Engagement Customers,Low usage frequency,No immediate action,P4
CUST_0027,0.9996078089261224,1,High,0.3292908351136531,157.24,Medium,60,Low Engagement Customers,High failed call rate; Inactive or higher-risk customer status,Personalized retention offer,P2
CUST_0028,0.9999788677398052,1,High,0.3292908351136531,228.48,Medium,73,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate; Inactive or higher-risk customer status,Personalized retention offer,P2
CUST_0029,0.9894156096116375,1,High,0.3292908351136531,5.4,Low,50,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0030,0.0010695615739015963,0,Low,0.3292908351136531,67.72,Low,1,Low Engagement Customers,Low usage frequency; Low customer value,No immediate action,P4
CUST_0031,1.0109468263830192e-05,0,Low,0.3292908351136531,124.23,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0032,0.9999559221036517,1,High,0.3292908351136531,38.375,Low,63,Price-Sensitive / Low-Value Users,Complaint recorded; Low usage frequency; Low usage duration,Automated SMS/email campaign,P2
CUST_0033,0.0005280744504512853,0,Low,0.3292908351136531,11.13,Low,0,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0034,9.303249609094905e-05,0,Low,0.3292908351136531,734.085,High,10,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0035,1.0457088480569712e-05,0,Low,0.3292908351136531,1538.145,High,21,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0036,0.0001077784725678069,0,Low,0.3292908351136531,180.0,Medium,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0037,0.0008512122931322442,0,Low,0.3292908351136531,220.36,Medium,3,Low Engagement Customers,Inactive or higher-risk customer status,No immediate action,P4
CUST_0038,9.654342003410412e-05,0,Low,0.3292908351136531,914.985,High,13,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0039,1.7845575815510768e-05,0,Low,0.3292908351136531,929.295,High,13,High-Value Loyal Customers,Low usage duration,No immediate action,P4
CUST_0040,0.0002818629681705516,0,Low,0.3292908351136531,115.175,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0041,0.0014495581750764552,0,Low,0.3292908351136531,77.625,Low,9,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0042,0.7231486820028024,1,High,0.3292908351136531,73.375,Low,37,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P4
CUST_0043,0.0011469513592686823,0,Low,0.3292908351136531,142.065,Low,10,Price-Sensitive / Low-Value Users,High failed call rate; Low usage duration,No immediate action,P4
CUST_0044,0.00010769802928239442,0,Low,0.3292908351136531,163.44,Medium,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0045,8.167503173873476e-06,0,Low,0.3292908351136531,203.445,Medium,3,Low Engagement Customers,Low usage frequency,No immediate action,P4
CUST_0046,1.9913223743933246e-05,0,Low,0.3292908351136531,676.53,High,9,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0047,1.1737037595838334e-05,0,Low,0.3292908351136531,410.1,Medium,6,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0048,0.00022666472927789758,0,Low,0.3292908351136531,239.92,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0049,7.200171924034597e-06,0,Low,0.3292908351136531,1037.2,High,14,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0050,0.9996045167407097,1,High,0.3292908351136531,60.28,Low,51,Low Engagement Customers,Low usage frequency; Low customer value,Automated SMS/email campaign,P3
CUST_0051,9.547029003532237e-05,0,Low,0.3292908351136531,220.16,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0052,0.017972846259905226,0,Low,0.3292908351136531,63.44,Low,10,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0053,1.4938316567139739e-05,0,Low,0.3292908351136531,1559.04,High,30,High-Value Loyal Customers,High failed call rate,No immediate action,P4
CUST_0054,5.429774884818454e-05,0,Low,0.3292908351136531,270.985,Medium,12,Low Engagement Customers,High failed call rate,No immediate action,P4
CUST_0055,1.9042339846302916e-05,0,Low,0.3292908351136531,144.63,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0056,3.838013801033659e-05,0,Low,0.3292908351136531,304.8,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0057,1.0290328509029998e-05,0,Low,0.3292908351136531,1258.48,High,17,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0058,8.442586870519146e-06,0,Low,0.3292908351136531,967.96,High,13,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0059,6.884542255201688e-06,0,Low,0.3292908351136531,580.2,High,8,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0060,1.3012679759414085e-05,0,Low,0.3292908351136531,214.44,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0061,0.0008809887894001712,0,Low,0.3292908351136531,291.04,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0062,0.0001929189985416542,0,Low,0.3292908351136531,146.2,Low,10,Low Engagement Customers,High failed call rate,No immediate action,P4
CUST_0063,3.2822128635151046e-05,0,Low,0.3292908351136531,853.12,High,12,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0064,5.779702613823435e-06,0,Low,0.3292908351136531,2079.4,High,37,High-Value Loyal Customers,High failed call rate,No immediate action,P4
CUST_0065,1.8926175817328542e-05,0,Low,0.3292908351136531,1405.35,High,19,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0066,8.432525399707708e-06,0,Low,0.3292908351136531,1029.96,High,14,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0067,0.0006842621472868831,0,Low,0.3292908351136531,65.34,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0068,0.000844066959400112,0,Low,0.3292908351136531,103.48,Low,9,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0069,0.9999812541430739,1,High,0.3292908351136531,25.335,Low,70,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate; Low usage frequency,Automated SMS/email campaign,P2
CUST_0070,9.15656801161606e-06,0,Low,0.3292908351136531,1863.92,High,26,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0071,2.1880627561656288e-05,0,Low,0.3292908351136531,332.05,Medium,5,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0072,3.379355813087732e-05,0,Low,0.3292908351136531,817.02,High,11,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0073,0.999920804138125,1,High,0.3292908351136531,126.6,Low,72,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate; Low usage duration,Automated SMS/email campaign,P2
CUST_0074,0.00029412624317099026,0,Low,0.3292908351136531,167.865,Medium,22,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate,No immediate action,P4
CUST_0075,0.008312748146511057,0,Low,0.3292908351136531,408.555,Medium,6,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0076,0.0003430678659966742,0,Low,0.3292908351136531,137.0,Low,2,Low Engagement Customers,Low usage frequency,No immediate action,P4
CUST_0077,0.9940099899060201,1,High,0.3292908351136531,179.76,Medium,60,Price-Sensitive / Low-Value Users,High failed call rate,Personalized retention offer,P2
CUST_0078,0.9998991233800273,1,High,0.3292908351136531,251.0,Medium,73,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate,Personalized retention offer,P2
CUST_0079,0.9953868498935703,1,High,0.3292908351136531,27.92,Low,58,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,Automated SMS/email campaign,P3
CUST_0080,0.00016306208766306792,0,Low,0.3292908351136531,56.4,Low,1,Low Engagement Customers,Low customer value,No immediate action,P4
CUST_0081,1.117685385594454e-05,0,Low,0.3292908351136531,132.675,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0082,0.9983682812606175,1,High,0.3292908351136531,52.45,Low,59,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,Automated SMS/email campaign,P3
CUST_0083,0.0037744984948255935,0,Low,0.3292908351136531,19.575,Low,8,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0084,4.962169514882692e-05,0,Low,0.3292908351136531,759.42,High,11,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0085,2.6944984166662243e-05,0,Low,0.3292908351136531,1389.76,High,31,Price-Sensitive / Low-Value Users,Complaint recorded,No immediate action,P4
CUST_0086,1.1998643782866903e-05,0,Low,0.3292908351136531,182.52,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0087,0.00010041709100817076,0,Low,0.3292908351136531,242.88,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0088,1.5280269423838978e-05,0,Low,0.3292908351136531,940.32,High,13,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0089,1.6785732530325365e-05,0,Low,0.3292908351136531,848.56,High,12,High-Value Loyal Customers,Low usage duration,No immediate action,P4
CUST_0090,0.00023267969210055635,0,Low,0.3292908351136531,129.25,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0091,0.0008856539631096341,0,Low,0.3292908351136531,91.52,Low,9,Price-Sensitive / Low-Value Users,High failed call rate; Low usage duration; Low customer value,No immediate action,P4
CUST_0092,0.0011886830528822392,0,Low,0.3292908351136531,87.45,Low,9,Low Engagement Customers,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0093,0.0005308890049403969,0,Low,0.3292908351136531,167.4,Medium,10,Price-Sensitive / Low-Value Users,High failed call rate; Low usage duration,No immediate action,P4
CUST_0094,0.00014267274797786426,0,Low,0.3292908351136531,185.96,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0095,3.755167560718197e-05,0,Low,0.3292908351136531,228.78,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0096,2.590728522218598e-05,0,Low,0.3292908351136531,701.865,High,10,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0097,5.7677109440768836e-05,0,Low,0.3292908351136531,254.505,Medium,4,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0098,0.00011625164839484264,0,Low,0.3292908351136531,262.44,Medium,12,Low Engagement Customers,High failed call rate,No immediate action,P4
CUST_0099,1.2404797203436315e-05,0,Low,0.3292908351136531,1059.72,High,15,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0100,0.9999687376551089,1,High,0.3292908351136531,82.8,Low,71,Price-Sensitive / Low-Value Users,Complaint recorded; High failed call rate; Low usage frequency,Automated SMS/email campaign,P2
CUST_0101,0.0004757024270816673,0,Low,0.3292908351136531,197.01,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0102,0.04002712662333072,0,Low,0.3292908351136531,20.7,Low,2,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0103,8.572460174971125e-06,0,Low,0.3292908351136531,1703.25,High,24,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0104,0.0004971742836124814,0,Low,0.3292908351136531,231.055,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0105,0.00012418597181522548,0,Low,0.3292908351136531,131.34,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0106,0.0009233684779298263,0,Low,0.3292908351136531,259.76,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0107,2.2194067095211953e-05,0,Low,0.3292908351136531,1213.44,High,17,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0108,1.0810830229225088e-05,0,Low,0.3292908351136531,922.92,High,13,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0109,6.779239382196689e-05,0,Low,0.3292908351136531,555.16,High,8,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0110,4.857584189608694e-05,0,Low,0.3292908351136531,181.4,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0111,0.0008263457450138055,0,Low,0.3292908351136531,276.75,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0112,0.005976893946852199,0,Low,0.3292908351136531,101.16,Low,14,Price-Sensitive / Low-Value Users,Complaint recorded; Low customer value; Inactive or higher-risk customer status,No immediate action,P4
CUST_0113,4.3265279027302545e-05,0,Low,0.3292908351136531,808.08,High,11,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0114,3.595676961162532e-05,0,Low,0.3292908351136531,2034.36,High,28,High-Value Loyal Customers,Low usage frequency,No immediate action,P4
CUST_0115,4.823588770746427e-05,0,Low,0.3292908351136531,1354.68,High,19,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0116,2.6182061668612194e-05,0,Low,0.3292908351136531,984.92,High,14,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0117,0.011443727034276553,0,Low,0.3292908351136531,37.17,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0118,0.0008802114856268195,0,Low,0.3292908351136531,65.745,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0119,0.8838101542015265,1,High,0.3292908351136531,0.0,Low,44,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0120,2.493477181423535e-05,0,Low,0.3292908351136531,2046.24,High,28,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0121,8.786283140222565e-05,0,Low,0.3292908351136531,486.24,High,7,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0122,4.139828636486952e-05,0,Low,0.3292908351136531,766.35,High,11,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0123,0.9988501904963321,1,High,0.3292908351136531,91.755,Low,59,Price-Sensitive / Low-Value Users,High failed call rate; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0124,8.569162709302377e-05,0,Low,0.3292908351136531,261.625,Medium,12,Stable Low-Risk Customers,High failed call rate,No immediate action,P4
CUST_0125,0.9984314192688227,1,High,0.3292908351136531,357.885,Medium,55,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,Personalized retention offer,P3
CUST_0126,0.00040411514874685937,0,Low,0.3292908351136531,111.96,Low,2,Low Engagement Customers,Low usage frequency; Low customer value,No immediate action,P4
CUST_0127,0.9888251656054338,1,High,0.3292908351136531,151.56,Medium,52,Low Engagement Customers,Inactive or higher-risk customer status,Personalized retention offer,P3
CUST_0128,0.9999711194297152,1,High,0.3292908351136531,205.96,Medium,65,Price-Sensitive / Low-Value Users,Complaint recorded; Inactive or higher-risk customer status,Personalized retention offer,P2
CUST_0129,0.9998428344142891,1,High,0.3292908351136531,0.0,Low,62,Price-Sensitive / Low-Value Users,Complaint recorded; Low usage frequency; Low usage duration,Automated SMS/email campaign,P2
CUST_0130,0.00028478111749116676,0,Low,0.3292908351136531,65.2,Low,1,Low Engagement Customers,Low usage frequency; Low customer value,No immediate action,P4
CUST_0131,4.128595994953398e-05,0,Low,0.3292908351136531,192.975,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0132,0.9990587051139173,1,High,0.3292908351136531,24.3,Low,50,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,Automated SMS/email campaign,P3
CUST_0133,0.002079643481824446,0,Low,0.3292908351136531,0.0,Low,0,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0134,0.00013109675071593018,0,Low,0.3292908351136531,731.25,High,10,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0135,6.559501825710406e-06,0,Low,0.3292908351136531,1512.81,High,21,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0136,4.346031027076332e-05,0,Low,0.3292908351136531,168.165,Medium,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0137,0.0005574103286402345,0,Low,0.3292908351136531,197.84,Medium,3,Low Engagement Customers,Inactive or higher-risk customer status,No immediate action,P4
CUST_0138,9.292497715562838e-05,0,Low,0.3292908351136531,889.65,High,12,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0139,5.437036440714992e-06,0,Low,0.3292908351136531,903.96,High,13,High-Value Loyal Customers,Low usage duration,No immediate action,P4
CUST_0140,4.577622129642994e-05,0,Low,0.3292908351136531,101.1,Low,1,Low Engagement Customers,Low customer value,No immediate action,P4
CUST_0141,0.0008329225701069427,0,Low,0.3292908351136531,52.29,Low,9,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,No immediate action,P4
CUST_0142,0.9989550108118015,1,High,0.3292908351136531,59.3,Low,63,Price-Sensitive / Low-Value Users,Complaint recorded; Low usage frequency; Low usage duration,Automated SMS/email campaign,P2
CUST_0143,0.00010090297218616621,0,Low,0.3292908351136531,116.73,Low,10,Low Engagement Customers,High failed call rate; Low usage duration,No immediate action,P4
CUST_0144,1.9134039449683578e-05,0,Low,0.3292908351136531,140.92,Low,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0145,9.048466483772823e-05,0,Low,0.3292908351136531,178.11,Medium,2,Low Engagement Customers,Low usage frequency,No immediate action,P4
CUST_0146,1.1306876784154132e-05,0,Low,0.3292908351136531,795.905,High,11,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0147,1.1843077800622906e-05,0,Low,0.3292908351136531,396.025,Medium,5,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0148,0.00025580610575956964,0,Low,0.3292908351136531,217.4,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0149,1.0895039211067752e-05,0,Low,0.3292908351136531,1014.68,High,14,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0150,0.9988785833863716,1,High,0.3292908351136531,57.76,Low,51,Low Engagement Customers,Low usage frequency; Low customer value,Automated SMS/email campaign,P3
CUST_0151,5.080236827541974e-05,0,Low,0.3292908351136531,240.92,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0152,0.9995153612535351,1,High,0.3292908351136531,84.2,Low,63,Price-Sensitive / Low-Value Users,Complaint recorded; Low usage frequency; Low usage duration,Automated SMS/email campaign,P2
CUST_0153,8.77919654962969e-06,0,Low,0.3292908351136531,1579.8,High,22,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0154,0.00015767952403314224,0,Low,0.3292908351136531,299.53,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0155,0.00010208436951682124,0,Low,0.3292908351136531,167.985,Medium,2,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0156,6.424220407710825e-05,0,Low,0.3292908351136531,325.56,Medium,5,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0157,3.5153933329112645e-05,0,Low,0.3292908351136531,1279.24,High,18,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0158,7.150807752639284e-06,0,Low,0.3292908351136531,988.72,High,14,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0159,9.888381720201742e-06,0,Low,0.3292908351136531,600.96,High,8,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0160,0.0001356026273922319,0,Low,0.3292908351136531,235.2,Medium,3,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0161,0.000686533595564105,0,Low,0.3292908351136531,311.8,Medium,4,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0162,0.0006298254439309642,0,Low,0.3292908351136531,166.96,Medium,2,Low Engagement Customers,Inactive or higher-risk customer status,No immediate action,P4
CUST_0163,3.197880422097281e-05,0,Low,0.3292908351136531,873.88,High,12,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0164,1.4235372149265787e-05,0,Low,0.3292908351136531,2100.16,High,29,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0165,1.3752428042327677e-05,0,Low,0.3292908351136531,1428.705,High,20,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0166,5.619413779131875e-06,0,Low,0.3292908351136531,1050.72,High,15,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0167,0.0009988337199254155,0,Low,0.3292908351136531,88.695,Low,1,Low Engagement Customers,Low usage frequency; Low usage duration; Low customer value,No immediate action,P4
CUST_0168,0.0009836358331516343,0,Low,0.3292908351136531,124.24,Low,2,Low Engagement Customers,Low usage frequency; Low usage duration; Inactive or higher-risk customer status,No immediate action,P4
CUST_0169,0.9970042514802262,1,High,0.3292908351136531,48.69,Low,59,Price-Sensitive / Low-Value Users,High failed call rate; Low usage frequency; Low usage duration,Automated SMS/email campaign,P3
CUST_0170,5.740662283459164e-06,0,Low,0.3292908351136531,1884.68,High,26,High-Value Loyal Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0171,8.451571531457905e-06,0,Low,0.3292908351136531,345.025,Medium,5,Stable Low-Risk Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
CUST_0172,1.248144207798602e-05,0,Low,0.3292908351136531,840.375,High,12,Low Engagement Customers,Model detected elevated churn risk based on customer behavior,No immediate action,P4
